Category;Subcategory;Subcategory+2;Subcategory+3;Subcategory+4;Subcategory+5;Subcategory+6;Subcategory+7;Subcategory+8
Appliances;;;;;;;;
Appliances;Dishwashers;;;;;;;
Appliances;Laundry+Appliances;;;;;;;
Appliances;Parts++Accessories;;;;;;;
Appliances;Ranges+Ovens++Cooktops;;;;;;;
Appliances;Refrigerators+Freezers++Ice+Makers;;;;;;;
Arts+Crafts++Sewing;Arts+Crafts++Sewing+Storage;;;;;;;
Arts+Crafts++Sewing;Beading++Jewelry+Making;;;;;;;
Arts+Crafts++Sewing;Craft++Hobby+Fabric;;;;;;;
Arts+Crafts++Sewing;Craft+Supplies++Materials;;;;;;;
Arts+Crafts++Sewing;Fabric+Decorating;;;;;;;
Arts+Crafts++Sewing;Knitting++Crochet+Supplies;;;;;;;
Arts+Crafts++Sewing;Model++Hobby+Building;;;;;;;
Arts+Crafts++Sewing;Needlework+Supplies;;;;;;;
Arts+Crafts++Sewing;Painting+Drawing++Art+Supplies;;;;;;;
Arts+Crafts++Sewing;Printmaking+Supplies;;;;;;;
Arts+Crafts++Sewing;Scrapbooking++Stamping+Supplies;;;;;;;
Arts+Crafts++Sewing;Sewing+Products;;;;;;;
Automotive;Automotive+Enthusiast+Merchandise;;;;;;;
Automotive;Automotive+Exterior+Accessories;;;;;;;
Automotive;Automotive+Interior+Accessories;;;;;;;
Automotive;Automotive+Paint++Paint+Supplies;;;;;;;
Automotive;Automotive+Performance+Parts++Accessories;;;;;;;
Automotive;Automotive+Replacement+Parts;;;;;;;
Automotive;Automotive+Tires++Wheels;;;;;;;
Automotive;Automotive+Tools++Equipment;;;;;;;
Automotive;Car+Care;;;;;;;
Automotive;Heavy+Duty++Commercial+Vehicle+Equipment;;;;;;;
Automotive;Lights+Bulbs++Indicators;;;;;;;
Automotive;Motorcycle++Powersports;;;;;;;
Automotive;Oils++Fluids;;;;;;;
Automotive;RV+Parts++Accessories;;;;;;;
Baby+Products;Baby++Toddler+Feeding++Supplies;;;;;;;
Baby+Products;Baby+Activity++Entertainment+Products;;;;;;;
Baby+Products;Baby+Bathing++Skin+Care;;;;;;;
Baby+Products;Baby+Care+Products;;;;;;;
Baby+Products;Baby+Diapering+Products;;;;;;;
Baby+Products;Baby+Gifts;;;;;;;
Baby+Products;Baby+Health++Care+Products;;;;;;;
Baby+Products;Baby+Safety+Products;;;;;;;
Baby+Products;Baby+Stationery;;;;;;;
Baby+Products;Baby+Strollers++Accessories;;;;;;;
Baby+Products;Baby+Travel+Gear;;;;;;;
Baby+Products;Child+Safety+Car+Seats++Accessories;;;;;;;
Baby+Products;Nursery+Furniture+Bedding++Dcor;;;;;;;
Baby+Products;Pregnancy++Maternity+Products;;;;;;;
Baby+Products;Toilet+Training+Products;;;;;;;
Beauty++Personal+Care;Beauty+Tools++Accessories;;;;;;;
Beauty++Personal+Care;Foot+Hand++Nail+Care+Products;;;;;;;
Beauty++Personal+Care;Hair+Care+Products;;;;;;;
Beauty++Personal+Care;Makeup;;;;;;;
Beauty++Personal+Care;Oral+Care+Products;;;;;;;
Beauty++Personal+Care;Perfumes++Fragrances;;;;;;;
Beauty++Personal+Care;Personal+Care+Products;;;;;;;
Beauty++Personal+Care;Shaving++Hair+Removal+Products;;;;;;;
Beauty++Personal+Care;Skin+Care+Products;;;;;;;
Books;Arts++Photography;;;;;;;
Books;Biographies;;;;;;;
Books;Business++Money;;;;;;;
Books;Calendars;;;;;;;
Books;Childrens+Books;;;;;;;
Books;Christian+Books++Bibles;;;;;;;
Books;Comics++Graphic+Novels;;;;;;;
Books;Computers++Technology;;;;;;;
Books;Cookbooks+Food++Wine;;;;;;;
Books;Crafts+Hobbies++Home;;;;;;;
Books;Education++Teaching;;;;;;;
Books;Engineering++Transportation;;;;;;;
Books;Health+Fitness++Dieting;;;;;;;
Books;History;;;;;;;
Books;Humor++Entertainment;;;;;;;
Books;Law;;;;;;;
Books;LGBTQ++Books;;;;;;;
Books;Literature++Fiction;;;;;;;
Books;Medical+Books;;;;;;;
Books;Mystery+Thriller++Suspense;;;;;;;
Books;Parenting++Relationships;;;;;;;
Books;Politics++Social+Sciences;;;;;;;
Books;Reference;;;;;;;
Books;Religion++Spirituality;;;;;;;
Books;Romance;;;;;;;
Books;Science++Math;;;;;;;
Books;Science+Fiction++Fantasy;;;;;;;
Books;SelfHelp;;;;;;;
Books;Specialty+Boutique;;;;;;;
Books;Sports++Outdoors;;;;;;;
Books;Teen++Young+Adult+Books;;;;;;;
Books;Test+Preparation;;;;;;;
Books;Travel;;;;;;;
CDs++Vinyl;Music+Styles;;;;;;;
Cell+Phones++Accessories;Cell+Phone+Accessories;;;;;;;
Cell+Phones++Accessories;Cell+Phone+Cases++Covers;;;;;;;
Cell+Phones++Accessories;Cell+Phone+SIM+Cards++Prepaid+Minutes;;;;;;;
Cell+Phones++Accessories;Cell+Phones;;;;;;;
Clothing+Shoes++Jewelry;Baby+Clothing++Shoes;;;;;;;
Clothing+Shoes++Jewelry;Boys+Fashion;;;;;;;
Clothing+Shoes++Jewelry;Costumes++Accessories;;;;;;;
Clothing+Shoes++Jewelry;Girls+Fashion;;;;;;;
Clothing+Shoes++Jewelry;Luggage++Travel+Gear;;;;;;;
Clothing+Shoes++Jewelry;Mens+Fashion;;;;;;;
